iter	Passed	Remaining
0	75	75613
1	112	56376
2	154	51212
3	183	45642
4	219	43714
5	259	42966
6	295	41855
7	334	41423
8	370	40825
9	408	40426
10	446	40177
11	483	39826
12	520	39505
13	559	39439
14	598	39317
15	620	38130
16	644	37287
17	679	37063
18	716	36993
19	755	37017
20	792	36935
21	813	36179
22	830	35260
23	863	35109
24	899	35095
25	940	35243
26	980	35319
27	1006	34934
28	1041	34879
29	1083	35045
30	1121	35058
31	1161	35149
32	1202	35229
33	1236	35143
34	1285	35434
35	1313	35172
36	1338	34835
37	1373	34774
38	1411	34770
39	1449	34793
40	1472	34431
41	1506	34356
42	1545	34396
43	1584	34434
44	1623	34464
45	1656	34357
46	1694	34359
47	1722	34165
48	1761	34183
49	1797	34152
50	1836	34170
51	1863	33968
52	1899	33934
53	1938	33962
54	1966	33785
55	2003	33773
56	2042	33791
57	2078	33761
58	2106	33596
59	2144	33594
60	2186	33651
61	2224	33650
62	2262	33657
63	2298	33619
64	2337	33628
65	2376	33635
66	2415	33631
67	2452	33613
68	2490	33601
69	2515	33421
70	2553	33417
71	2593	33425
72	2630	33407
73	2672	33443
74	2737	33759
75	2795	33987
76	2832	33947
77	2871	33939
78	2910	33928
79	2949	33921
80	2971	33718
81	3004	33630
82	3039	33582
83	3062	33399
84	3097	33344
85	3138	33353
86	3178	33358
87	3205	33219
88	3242	33187
89	3280	33168
90	3317	33134
91	3339	32957
92	3374	32910
93	3411	32884
94	3449	32865
95	3491	32874
96	3528	32852
97	3556	32737
98	3592	32697
99	3615	32543
100	3654	32529
101	3693	32516
102	3724	32438
103	3749	32299
104	3785	32269
105	3824	32258
106	3857	32191
107	3879	32041
108	3905	31922
109	3941	31889
110	3969	31792
111	3993	31661
112	4032	31652
113	4073	31659
114	4109	31625
115	4139	31542
116	4177	31528
117	4219	31537
118	4255	31505
119	4296	31504
120	4335	31492
121	4365	31416
122	4404	31403
123	4439	31360
124	4476	31334
125	4517	31334
126	4555	31317
127	4597	31317
128	4635	31296
129	4673	31275
130	4701	31185
131	4737	31151
132	4779	31154
133	4819	31146
134	4848	31063
135	4885	31038
136	4921	31003
137	4961	30994
138	5010	31035
139	5050	31026
140	5071	30899
141	5104	30845
142	5131	30755
143	5153	30631
144	5188	30593
145	5222	30550
146	5263	30541
147	5300	30514
148	5337	30486
149	5365	30403
150	5391	30313
151	5421	30248
152	5443	30136
153	5482	30116
154	5499	29978
155	5534	29940
156	5568	29899
157	5607	29882
158	5648	29878
159	5687	29859
160	5728	29853
161	5769	29842
162	5808	29826
163	5829	29714
164	5873	29724
165	5911	29700
166	5934	29601
167	5971	29572
168	6010	29552
169	6049	29536
170	6090	29526
171	6130	29510
172	6142	29363
173	6176	29320
174	6214	29298
175	6246	29244
176	6283	29216
177	6322	29195
178	6341	29084
179	6360	28973
180	6388	28908
181	6406	28792
182	6422	28675
183	6457	28637
184	6479	28546
185	6517	28522
186	6535	28414
